[gpu1] Starting: tau0.12_slots1_warmup0
Run:        pm3_tau0.12_slots1_warmup0
Device:     cuda
Epochs:     200
Batch size: 512
LR:         8.49e-04  (auto-scaled from 0.0003 at batch=64)
Output:     results/pm3_grid/pm3_tau0.12_slots1_warmup0.pkl
────────────────────────────────────────────────────────────
/global/homes/d/danieltm/.conda/envs/influencer/lib/python3.11/site-packages/torch/nn/modules/transformer.py:296: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343970094/work/aten/src/ATen/NestedTensorImpl.cpp:177.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  77 | loss=1.0586 dist=0.8961 div=2.168 H=0.094 gd=0.696 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  78 | loss=1.0561 dist=0.8966 div=2.185 H=0.094 gd=0.664 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  79 | loss=1.0496 dist=0.8900 div=2.180 H=0.094 gd=0.659 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  80 | loss=1.0420 dist=0.8920 div=2.185 H=0.095 gd=0.721 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  81 | loss=1.0351 dist=0.8844 div=2.173 H=0.093 gd=0.705 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  82 | loss=1.0361 dist=0.9042 div=2.176 H=0.093 gd=0.740 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  83 | loss=1.0555 dist=0.8928 div=2.171 H=0.094 gd=0.673 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  84 | loss=1.0523 dist=0.8882 div=2.173 H=0.092 gd=0.641 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  85 | loss=1.0505 dist=0.8902 div=2.179 H=0.095 gd=0.668 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  86 | loss=1.0451 dist=0.9029 div=2.185 H=0.093 gd=0.718 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  87 | loss=1.0402 dist=0.8866 div=2.180 H=0.093 gd=0.710 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  88 | loss=1.0432 dist=0.8890 div=2.183 H=0.093 gd=0.703 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  89 | loss=1.0364 dist=0.8906 div=2.192 H=0.092 gd=0.697 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  90 | loss=1.0254 dist=0.8719 div=2.199 H=0.092 gd=0.674 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  91 | loss=1.0185 dist=0.8665 div=2.192 H=0.090 gd=0.640 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  92 | loss=1.0375 dist=0.8880 div=2.164 H=0.091 gd=0.769 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  93 | loss=1.0292 dist=0.8855 div=2.181 H=0.091 gd=0.672 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  94 | loss=1.0281 dist=0.8866 div=2.174 H=0.091 gd=0.675 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  95 | loss=1.0437 dist=0.9058 div=2.188 H=0.092 gd=0.693 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  96 | loss=1.0352 dist=0.8842 div=2.184 H=0.091 gd=0.684 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  97 | loss=1.0198 dist=0.8786 div=2.191 H=0.091 gd=0.724 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  98 | loss=1.0305 dist=0.8895 div=2.182 H=0.093 gd=0.655 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  99 | loss=1.0261 dist=0.8746 div=2.188 H=0.089 gd=0.697 lr=8.49e-04
