[gpu2] Starting: tau0.12_slots0_warmup1
Run:        pm3_tau0.12_slots0_warmup1
Device:     cuda
Epochs:     200
Batch size: 512
LR:         8.49e-04  (auto-scaled from 0.0003 at batch=64)
Output:     results/pm3_grid/pm3_tau0.12_slots0_warmup1.pkl
────────────────────────────────────────────────────────────
/global/homes/d/danieltm/.conda/envs/influencer/lib/python3.11/site-packages/torch/nn/modules/transformer.py:296: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343970094/work/aten/src/ATen/NestedTensorImpl.cpp:177.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 112 | loss=0.6376 dist=0.6373 div=2.357 H=0.061 gd=0.538 lr=3.53e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 113 | loss=0.6323 dist=0.6297 div=2.366 H=0.060 gd=0.573 lr=3.46e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 114 | loss=0.6318 dist=0.6269 div=2.365 H=0.059 gd=0.572 lr=3.39e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 115 | loss=0.6424 dist=0.6408 div=2.353 H=0.061 gd=0.563 lr=3.33e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 116 | loss=0.6605 dist=0.6423 div=2.348 H=0.061 gd=0.582 lr=3.26e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 117 | loss=0.6357 dist=0.6370 div=2.349 H=0.061 gd=0.519 lr=3.19e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 118 | loss=0.6534 dist=0.6463 div=2.340 H=0.061 gd=0.560 lr=3.13e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 119 | loss=0.6362 dist=0.6432 div=2.349 H=0.061 gd=0.564 lr=3.06e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 120 | loss=0.6348 dist=0.6307 div=2.343 H=0.061 gd=0.531 lr=3.00e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 121 | loss=0.6312 dist=0.6281 div=2.350 H=0.059 gd=0.542 lr=2.93e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 122 | loss=0.6353 dist=0.6343 div=2.357 H=0.060 gd=0.538 lr=2.87e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 123 | loss=0.6224 dist=0.6348 div=2.357 H=0.060 gd=0.513 lr=2.80e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 124 | loss=0.6247 dist=0.6250 div=2.346 H=0.061 gd=0.516 lr=2.74e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 125 | loss=0.6239 dist=0.6253 div=2.360 H=0.059 gd=0.576 lr=2.67e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 126 | loss=0.6117 dist=0.6184 div=2.352 H=0.060 gd=0.497 lr=2.61e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 127 | loss=0.6139 dist=0.6273 div=2.358 H=0.059 gd=0.540 lr=2.55e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 128 | loss=0.6207 dist=0.6326 div=2.366 H=0.059 gd=0.502 lr=2.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 129 | loss=0.6183 dist=0.6222 div=2.364 H=0.058 gd=0.538 lr=2.42e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 130 | loss=0.6128 dist=0.6137 div=2.370 H=0.058 gd=0.506 lr=2.36e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 131 | loss=0.6238 dist=0.6199 div=2.371 H=0.058 gd=0.483 lr=2.30e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 132 | loss=0.6122 dist=0.6147 div=2.366 H=0.058 gd=0.503 lr=2.24e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 133 | loss=0.6069 dist=0.6142 div=2.357 H=0.058 gd=0.535 lr=2.18e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 134 | loss=0.6034 dist=0.6188 div=2.371 H=0.058 gd=0.546 lr=2.12e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 135 | loss=0.6060 dist=0.6268 div=2.364 H=0.059 gd=0.512 lr=2.06e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 136 | loss=0.6034 dist=0.6100 div=2.353 H=0.058 gd=0.506 lr=2.00e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 137 | loss=0.6217 dist=0.6125 div=2.361 H=0.059 gd=0.530 lr=1.95e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 138 | loss=0.6227 dist=0.6115 div=2.364 H=0.059 gd=0.475 lr=1.89e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 139 | loss=0.6093 dist=0.6241 div=2.370 H=0.059 gd=0.521 lr=1.83e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 140 | loss=0.5997 dist=0.6109 div=2.361 H=0.058 gd=0.514 lr=1.78e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 141 | loss=0.5953 dist=0.6193 div=2.361 H=0.059 gd=0.500 lr=1.72e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 142 | loss=0.5978 dist=0.6078 div=2.365 H=0.058 gd=0.497 lr=1.67e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 143 | loss=0.6050 dist=0.6157 div=2.354 H=0.060 gd=0.503 lr=1.61e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 144 | loss=0.6028 dist=0.6090 div=2.367 H=0.057 gd=0.475 lr=1.56e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 145 | loss=0.5900 dist=0.6083 div=2.358 H=0.058 gd=0.525 lr=1.51e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 146 | loss=0.5942 dist=0.6054 div=2.370 H=0.057 gd=0.466 lr=1.45e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 147 | loss=0.5873 dist=0.6032 div=2.376 H=0.057 gd=0.523 lr=1.40e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 148 | loss=0.5855 dist=0.6015 div=2.372 H=0.057 gd=0.485 lr=1.35e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 149 | loss=0.5844 dist=0.6035 div=2.378 H=0.057 gd=0.518 lr=1.30e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 150 | loss=0.5881 dist=0.6038 div=2.362 H=0.058 gd=0.499 lr=1.25e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 151 | loss=0.5811 dist=0.5970 div=2.373 H=0.057 gd=0.520 lr=1.21e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 152 | loss=0.5796 dist=0.5976 div=2.376 H=0.056 gd=0.484 lr=1.16e-04
